company,topic_00,topic_01,topic_02,topic_03,topic_04,topic_05,topic_06,topic_07,topic_08,topic_09,topic_10,topic_11,topic_12,topic_13,topic_14
ADANIENT_2024,0.1312,0.0019,0.0,0.0046,0.0,0.1019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7604
ADANIPORTS_2024,1e-04,0.0,0.0,0.9997,0.0,1e-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOLLOHOSP_2024,1e-04,0.2587,0.1092,0.0,0.0,1e-04,0.0,0.0,0.0,0.0,0.0,0.4957,0.0,0.1361,0.0
ASIANPAINT_2024,0.1663,0.0562,0.0,0.0,0.0,0.6904,1e-04,0.0,0.0,0.0,0.0,0.0732,0.0,0.0003,0.0135
AXISBANK_2024,0.0518,0.0002,1e-04,1e-04,0.0,0.6034,0.3437,0.0,1e-04,0.0,1e-04,0.0002,1e-04,1e-04,0.0002
BAJAJFINSV_2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.0
BAJFINANCE_2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0351,0.0,0.0,0.0,0.0,0.0,0.0,0.9648,0.0
BEL_2024,0.0002,0.0717,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.828,0.0,0.0,0.0,0.0998
BHARTIARTL_2024,0.0002,0.0002,0.0,0.0,0.0,0.9989,1e-04,0.0,0.0,0.0,1e-04,1e-04,0.0,1e-04,1e-04
BPCL_2024,0.008,0.9424,0.0,0.0,0.0,0.0412,0.0015,0.0,0.0,0.0,0.0,0.0052,0.0,0.0002,0.0015
BRITANNIA_2024,0.0,0.0771,0.0002,0.0,0.0,0.7745,0.0,0.0,0.0,0.0,0.0,0.1481,0.0,0.0,0.0
CIPLA_2024,0.0772,0.0005,0.0,0.0,0.0,0.0997,0.0,0.0,0.0,0.0,0.0,0.108,0.0,0.0003,0.7142
COALINDIA_2024,0.0009,0.0007,0.0002,0.0002,1e-04,0.0009,0.0004,1e-04,0.0002,1e-04,0.0002,0.0005,0.9948,0.0004,0.0005
DIVISLAB_2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9988,0.0,0.0,0.0011,0.0,0.0,0.0
DRREDDY_2024,0.0901,0.0002,0.0,0.0,0.0,1e-04,0.0,0.0,0.0,0.0,0.0,0.7764,0.0,0.0,0.1331
GRASIM_2024,0.7444,0.0036,0.0,0.0,0.0,0.2316,0.0052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0151
HDFCLIFE_2024,0.0004,0.0003,1e-04,1e-04,0.0,0.0004,0.0002,0.9977,1e-04,0.0,1e-04,0.0002,1e-04,0.0002,0.0002
HEROMOTOCO_2024,0.0121,0.0024,0.0,0.0,0.0,0.9408,0.0148,0.0,0.0,0.0,0.0105,0.0081,0.0,0.0112,1e-04
HINDALCO_2024,0.3072,0.0005,0.0,0.0835,0.0,0.2284,0.3792,0.0,0.0,0.0,0.0009,1e-04,0.0,0.0,1e-04
HINDUNILVR_2024,0.3164,1e-04,0.0,0.0,0.0,0.6833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICICIBANK_2024,0.4513,0.0002,0.0,0.0,0.0,0.0088,0.2366,0.0,0.0,0.0,1e-04,0.1467,0.0,0.156,1e-04
INDUSINDBK_2024,0.1135,1e-04,0.0,0.0,0.0,0.6052,0.1844,0.0,0.0,0.0,0.0,1e-04,0.0,0.0966,1e-04
INFOSYS_2024,1e-04,1e-04,0.0,0.0,0.0,1e-04,0.0,0.0,0.0,0.0,0.0,1e-04,0.9994,0.0,1e-04
ITC_2024,0.0,0.0025,0.0,0.0,0.0,0.0622,0.0284,0.0,0.0,0.0,0.0,0.9068,0.0,0.0,0.0
JSWSTEEL_2024,0.7523,0.1061,0.0,0.0092,0.0,0.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013
KOTAKBANK_2024,0.0002,0.218,0.0,0.0,0.0,0.0002,1e-04,0.0,0.0,0.0,0.0,1e-04,0.0,0.7811,1e-04
LT_2024,0.4004,0.2143,0.0,0.0,0.0,0.3849,1e-04,0.0,0.0,0.0,0.0,1e-04,0.0,1e-04,1e-04
MARUTI_2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.0,0.0,0.0,0.0
MM_2024,0.0094,0.0609,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0,0.0003,0.923,0.0,0.0,0.0
NESTLEIND_2024,0.0,0.0,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NTPC_2024,0.1128,0.8223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.0,0.0,0.0624
ONGC_2024,0.0013,0.001,0.0002,0.0002,0.0002,0.0014,0.0005,0.0002,0.0002,0.0002,0.0003,0.0008,0.9923,0.0005,0.0007
POWERGRID_2024,0.0135,0.1874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7991
RELIANCE_2024,0.1408,0.1051,0.0,0.0,0.0,0.7068,0.0347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0126
SBILIFE_2024,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBIN_2024,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
